"id","pmid","nam","des","syn","mol","form","iup","smi","pdb","kegg","hmdb","mp","ws","db","rec","ref"
"20011","11687","Algestone","A synthetic progestational dihydroxy derivative of PROGESTERONE. Its  acetonide possesses anti-inflammatory properties.","Alphasone Algestone  Dihydroxyprogesterone Algestonum  Algestona  16alpha;17-Dihydroxypregn-4-ene-3;20-dione","346.46","C21H30O4","(8R;9S;10R;13S;14S;16R;17S)-17-acetyl-16;17-dihydroxy-10;13-dimethyl-2;6;7;8;9;11;12;14;15;16-decahydro-1H-cyclopenta[a]phenanthren-3-one","CC(=O)C1(C(CC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O)O","NA","C06391","NA","225","NA","NA","NA","Pubchem"
"20012","32327","Algestone Acetophenide","A progesterone that has been used in ESTRUS SYNCHRONIZATION and has  been evaluated as an injectable contraceptive in combination with  estradiol enanthate. It is also used therapeutically as a topical  anti-inflammatory and is applied topically in the treatment of  ACNE.","Deladroxone  Bovitrol  Neolutin  Droxone  Algeston acetofenid  P-Dhp  Alphasone acetophenide","448.59","C29H36O4","NA","CC(=O)C12C(CC3C1(CCC4C3CCC5=CC(=O)CCC45C)C)OC(O2)(C)C6=CC=CC=C6","NA","NA","NA","150.5","NA","NA","NA","Pubchem"
"20013","235905","Allylestrenol","A synthetic steroid with progestational activity.","allylestrenol Gestanin Gestanol  Gestanon Gestanyn  Orageston  Organon  Turinal Gestormone","300.48","C21H32O","(8R;9S;10R;13S;14S;17R)-13-methyl-17-prop-2-enyl-2;3;6;7;8;9;10;11;12;14;15;16-dodecahydro-1H-cyclopenta[a]phenanthren-17-ol","CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34","NA","C12811; D01374","NA","NA","NA","DB01431","NA","Pubchem"
"20014","441301","Androstane-3;17-diol","The unspecified form of the steroid; normally a major metabolite of  TESTOSTERONE with androgenic activity. It has been implicated as a  regulator of gonadotropin secretion.","Androstanediol  ANDROSTANE-3;17-DIOL","292.46","C19H32O2","(3R;5S;8R;9S;10S;13S;14S)-10;13-dimethyl-2;3;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3;17-diol","CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O","NA","C07632","HMDB0000495","NA","NA","NA","NA","Pubchem; HMDB"
"20015","10635","Dihydrotestosterone","A potent androgenic metabolite of TESTOSTERONE. Dihydrotestosterone  (DHT) is generated by a 5-alpha reduction of testosterone. Unlike  testosterone; DHT cannot be aromatized to ESTRADIOL therefore DHT is  considered a pure androgenic steroid.","Androstanolone Dihydrotestosterone  Andractim Anaboleen  Androlone  Stanaprol  Anabolex Proteina Protona STANOLONE","290.44","C19H30O2","(5S;8R;9S;10S;13S;14S;17S)-17-hydroxy-10;13-dimethyl-1;2;4;5;6;7;8;9;11;12;14;15;16;17-tetradecahydrocyclopenta[a]phenanthren-3-one","CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C","1D2S;1F5F;1KDK;1KDM;1T73;1T74;1T76;1T79;1T7F;1T7M;1T7R;1T7T;1T5Z;1T63;1T65;1XJ7;2AMA;2PIO;2PIP;2PIQ;","C03917; D07456","HMDB0002961","181","5.25E+05mg/ml at 25C","DB02901","P10275; P15207","Pubchem; HMDB"
"20016","10634","Androstenediol","An intermediate in TESTOSTERONE biosynthesis; found in the TESTIS or  the ADRENAL GLANDS. Androstenediol; derived from  DEHYDROEPIANDROSTERONE by the reduction of the 17-keto group  (17-HYDROXYSTEROID DEHYDROGENASES); is converted to TESTOSTERONE by  the oxidation of the 3-beta hydroxyl group to a 3","Androstenediol Hermaphrodiol Androst-5-enediol Tetrabol Neumune Tetrabol (TN) Delta 5-Androstenediol Androst-5-ene-3beta;17beta-diol","290.44","C19H30O2","(3S;8R;9S;10R;13S;14S;17S)-10;13-dimethyl-2;3;4;7;8;9;11;12;14;15;16;17-dodecahydro-1H-cyclopenta[a]phenanthrene-3;17-diol","CC12CCC3C(C1CCC2O)CC=C4C3(CCC(C4)O)C","NA","C04295; D00179","HMDB0003818","NA","NA","NA","Q9TT90; Q8MIK0; O97776; P10275; O97952; Q6QT55; P19091; O97775; O97960; Q9GKL7; P49699; Q7T1K4; P15207; O18925; O18928; O55065; O55066; O93244; O93245","Pubchem; HMDB"
"20017","6128","Androstenedione","A delta-4 C19 steroid that is produced not only in the TESTIS; but  also in the OVARY and the ADRENAL CORTEX. Depending on the tissue  type; androstenedione can serve as a precursor to TESTOSTERONE as well  as ESTRONE and ESTRADIOL.","androstenedione Androtex Andro 4-Androstenedione 4-Androstene-3;17-dione Androst-4-ene-3;17-dione Fecundin delta-4-Androstenedione 17-Ketotestosterone 3;17-Dioxoandrost-4-ene","286.41","C19H26O2","(8R;9S;10R;13S;14S)-10;13-dimethyl-2;6;7;8;9;11;12;14;15;16-decahydro-1H-cyclopenta[a]phenanthrene-3;17-dione","CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C","1QYX","C00280; D00051","HMDB0000053","158","57.8mg/ml at 25C","DB01536","Q9TT90; Q8MIK0; O97776; P10275; O97952; Q6QT55; P19091; O97775; O97960; Q9GKL7; P49699; Q7T1K4; P15207; O18925; O18928; O55065; O55066; O93244; O93245","Pubchem; HMDB"
"20018","5879","Androsterone","A metabolite of TESTOSTERONE or ANDROSTENEDIONE with a  3-alpha-hydroxyl group and without the double bond. The 3-beta  hydroxyl isomer is epiandrosterone.","androsterone Androkinine Androtine Atromide ICI 5alpha-Androsterone Aetiocholanolone cis-Androsterone","290.44","C19H30O2","(3R;5S;8R;9S;10S;13S;14S)-3-hydroxy-10;13-dimethyl-1;2;3;4;5;6;7;8;9;11;12;14;15;16-tetradecahydrocyclopenta[a]phenanthren-17-one","CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O","1YB1;1X8J","C00523","HMDB0000031","185","12mg/ml at 23C","NA","Q3SZL0; Q96RI1; Q60641; Q62735; Q811W9; Q811X0; Q811X1; Q811X2; Q8JHU2","Pubchem; HMDB"
"20019","20469","Beclomethasone","An anti-inflammatory; synthetic glucocorticoid. It is used topically  as an anti-inflammatory agent and in aerosol form for the treatment of  ASTHMA.","beclomethasone Becotide Beclometason Beclocort","408.92","C22H29ClO5","(8S;9R;10S;11S;13S;14S;16S;17R)-9-chloro-11;17-dihydroxy-17-(2-hydroxyacetyl)-10;13;16-trimethyl-6;7;8;11;12;14;15;16-octahydrocyclopenta[a]phenanthren-3-one","CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C","NA","C06842; D07495","NA","NA","NA","DB00394","P79686; Q6XLJ0; P49115; P04150; P06537; P49843; O73673; Q9N1U3; Q5R9P5; P59667; P06536; P79269; O13186; O46567; P35547; Q95267; P49844; Q3MSN1; Q3MSN4","Pubchem"
"20020","21700","Beclomethasone dipropionate","An anti-inflammatory; synthetic glucocorticoid. It is used topically  as an anti-inflammatory agent and in aerosol form for the treatment of  ASTHMA.","Beclovent Beclomethasone Vanceril Becloturmant Becloforte Beclorhinol Sanasthmax Sanasthmyl Aldecina Aldecine Beclacin","521.04","C28H37ClO7","[(8S;9R;10S;11S;13S;14S;16S;17R)-9-chloro-11-hydroxy-10;13;16-trimethyl-3-oxo-17-(2-propanoyloxyacetyl)-6;7;8;11;12;14;15;16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate","CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC","NA","C07813; D00689","NA","NA","NA","DB00394","P79686; Q6XLJ0; P49115; P04150; P06537; P49843; O73673; Q9N1U3; Q5R9P5; P59667; P06536; P79269; O13186; O46567; P35547; Q95267; P49844; Q3MSN1; Q3MSN4","Pubchem"
"20021","9782","Betamethasone","A glucocorticoid given orally; parenterally; by local injection; by  inhalation; or applied topically in the management of various  disorders in which corticosteroids are indicated. Its lack of  mineralocorticoid properties makes betamethasone particularly suitable  for treating cerebral edema and c","betamethasone Rinderon Celestone Betadexamethasone Betafluorene Betamamallet Betamethazone Flubenisolone Betacorlan Betacortril","392.46","C22H29FO5","(8S;9R;10S;11S;13S;14S;16S;17R)-9-fluoro-11;17-dihydroxy-17-(2-hydroxyacetyl)-10;13;16-trimethyl-6;7;8;11;12;14;15;16-octahydrocyclopenta[a]phenanthren-3-one","CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C","NA","D00244","NA","232","66.5mg/ml at 25C","DB00443","P04150","Pubchem"
"20022","16533","Betamethasone 17-Valerate","The 17-valerate derivative of BETAMETHASONE. It has substantial  topical anti-inflammatory activity and relatively low systemic  anti-inflammatory activity.","beta-Val Betnovateat Celestoderm Betatrex Betnovate Betamethasone 17-Valerate Valisone Luxiq Betaderm Dermabet Valnac","476.58","C27H37FO6","[(8S;9R;10S;11S;13S;14S;16S;17R)-9-fluoro-11-hydroxy-17-(2-hydroxyacetyl)-10;13;16-trimethyl-3-oxo-6;7;8;11;12;14;15;16-octahydrocyclopenta[a]phenanthren-17-yl] pentanoate","CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO","NA","D01357","NA","222","9.29mg/ml at 25C","DB00443","P04150","Pubchem"
"20023","65478","betamethasone sodium phosphate","phosphate ester of betamethasone; RN given refers to the di-Na salt  (11beta;16beta)-isomer; structure in Negwer;5th ed; 4975","Bentelan betamethasone sodium phosphate Betnesol Celestone Linolosal Linosal Celestone Soluspan Celestone Phosphate Betasone (Veterinary) beta-Methasone phosphate","516.4","C22H28FNa2O8P","disodium[2-[(8S;9R;10S;11S;13S;14S;16S;17R)-9-fluoro-11;17-dihydroxy-10;13;16-trimethyl-3-oxo-6;7;8;11;12;14;15;16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] phosphate","CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+]","NA","D00972","NA","NA","NA","DB00443","P04150","Pubchem"
"20024","5280373","biochanin A","phytoestrogen; RN given refers to unlabeled cpd; structure","biochanin A Biochanin 4'-Methylgenistein olmelin Biochanine A Genistein 4-methyl ether 5;7-Dihydroxy-4'-methoxyisoflavone","284.26","C16H12O5","5;7-dihydroxy-3-(4-methoxyphenyl)chromen-4-one","COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O","NA","C00814","HMDB0002338","NA","NA","NA","Q9YHT3; P49884; P06212; Q91424; P57717; Q53AD2; Q9TV98; P03372; Q9YHZ7; P49886; Q9QZJ5; P57753; P19785; P16058; P50240; Q9YH33; P50241; O42132; Q29040","Pubchem"
"20025","6623","bisphenol A","xenoestrogen; RN given refers to parent cpd; structure","Bisphenol A Diphenylolpropane Diano Rikabanol Parabis A 4;4'-Bisphenol A Polycarbonate","228.29","C15H16O2","4-[2-(4-hydroxyphenyl)propan-2-yl]phenol","CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O","NA","C13624","NA","153","120mg/ml at 25C","NA","Q9YHT3; P49884; P06212; Q91424; P57717; Q53AD2; Q9TV98; P03372; Q9YHZ7; P49886; Q9QZJ5; P57753; P19785; P16058; P50240; Q9YH33; P50241; O42132; Q29040","Pubchem"
"20026","3033890","Budesonide","A glucocorticoid used in the management of ASTHMA; the treatment of  various skin disorders; and allergic RHINITIS.","budesonide Cortivent Entocort Micronyl Preferid Pulmicort Respules Rhinocort Spirocort Budeson","430.53","C25H34O6","NA","CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C","NA","NA","NA","226","NA","DB01222","P04150","Pubchem"
"20027","11289","Chlorotrianisene","A powerful synthetic; non-steroidal estrogen.","Chlorotrianizen Chlorestrolo Chlortrianisen Chlortrianisestrol Chlortrianisene Khlortrianizen Chloortrianisestrol","380.86","C23H21ClO3","1-[2-chloro-1;2-bis(4-methoxyphenyl)ethenyl]-4-methoxybenzene","COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC","NA","D00269","NA","115","NA","DB00269","P03372","Pubchem"
"20028","5311051","Clobetasol","A derivative of PREDNISOLONE with high glucocorticoid activity and low  mineralocorticoid activity. Absorbed through the skin faster than  FLUOCINONIDE; it is used topically in treatment of PSORIASIS but may  cause marked adrenocortical suppression.","clobetasol Clobecort Amex","410.91","C22H28ClFO4","(8S;9R;10S;11S;13S;14S;16S;17R)-17-(2-chloroacetyl)-9-fluoro-11;17-dihydroxy-10;13;16-trimethyl-6;7;8;11;12;14;15;16-octahydrocyclopenta[a]phenanthren-3-one","CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C","NA","D07715","NA","NA","NA","NA","P79686; Q6XLJ0; P49115; P04150; P06537; P49843; O73673; Q9N1U3; Q5R9P5; P59667; P06536; P79269; O13186; O46567; P35547; Q95267; P49844; Q3MSN1; Q3MSN4","Pubchem"
"20029","32798","Clobetasol propionate","A derivative of PREDNISOLONE with high glucocorticoid activity and low  mineralocorticoid activity. Absorbed through the skin faster than  FLUOCINONIDE; it is used topically in treatment of PSORIASIS but may  cause marked adrenocortical suppression.","Clobex Clobetasol  Clobesol  Dermovate Temovate  Cormax  Luxiq  Temovate E  Embeline Olux","466.97","C25H32ClFO5","[(8S;9R;10S;11S;13S;14S;16S;17R)-17-(2-chloroacetyl)-9-fluoro-11-hydroxy-10;13;16-trimethyl-3-oxo-6;7;8;11;12;14;15;16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate","CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl","NA","D01272","NA","222.5","3.86mg/ml at 25C","DB01013","P79686; Q6XLJ0; P49115; P04150; P06537; P49843; O73673; Q9N1U3; Q5R9P5; P59667; P06536; P79269; O13186; O46567; P35547; Q95267; P49844; Q3MSN1; Q3MSN4","Pubchem"
"20030","71386","Clobetasone butyrate","NA","Eumovate Molivate  Kindavate  Trimovate Emovate Kindavate (TN)  Clobetasone 17-butyrate clobetasone butyrate","478.98","C26H32ClFO5","[(8S;9R;10S;13S;14S;16S;17R)-17-(2-chloroacetyl)-9-fluoro-10;13;16-trimethyl-3;11-dioxo-7;8;12;14;15;16-hexahydro-6H-cyclopenta[a]phenanthren-17-yl] butanoate","CCCC(=O)OC1(C(CC2C1(CC(=O)C3(C2CCC4=CC(=O)C=CC43C)F)C)C)C(=O)CCl","NA","D01273","NA","95","0.6mg/ml at 25C","NA","NA","Pubchem"
"20031","440707","Cortodoxone","17;21-Dihydroxypregn-4-ene-3;20-dione. A 17-hydroxycorticosteroid with  glucocorticoid and anti-inflammatory activities.","Cortexolone 11-Deoxycortisol Reichstein S  Substance S  11 Deoxycortisol 11-Dioxycortisol  CORTODOXONE 11-Deoxyhydrocortisone","346.46","C21H30O4","(8R;9S;10R;13S;14S;17R)-17-hydroxy-17-(2-hydroxyacetyl)-10;13-dimethyl-2;6;7;8;9;11;12;14;15;16-decahydro-1H-cyclopenta[a]phenanthren-3-one","CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C","NA","C05488; D03595","HMDB0000015","NA","NA","NA","NA","Pubchem; HMDB"
"20032","5753","Corticosterone","An adrenocortical steroid that has modest but significant activities  as a mineralocorticoid and a glucocorticoid. (From Goodman and  Gilman's The Pharmacological Basis of Therapeutics; 8th ed; p1437)","CORTICOSTERONE Corticosteron  17-Deoxycortisol  Compound B  Kendall's compound B  Reichstein's B  Reichstein's substance H  cortisone  Cortico  Compd B","346.46","C21H30O4","(8S;9S;10R;11S;13S;14S;17S)-11-hydroxy-17-(2-hydroxyacetyl)-10;13-dimethyl-1;2;6;7;8;9;11;12;14;15;16;17-dodecahydrocyclopenta[a]phenanthren-3-one","CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O","1Y5R","C02140","HMDB0001547","181","199mg/ml at 25C","NA","P79686; Q6XLJ0; P49115; P04150; P06537; P49843; O73673; Q9N1U3; Q5R9P5; P59667; P06536; P79269; O13186; O46567; P35547; Q95267; P49844; Q3MSN1; Q3MSN4","Pubchem"
"20033","222786","Cortisone","A naturally occurring glucocorticoid. It has been used in replacement  therapy for adrenal insufficiency and as an anti-inflammatory agent.  Cortisone itself is inactive. It is converted in the liver to the  active metabolite HYDROCORTISONE. (From Martindale; The Extra  Pharmacopoeia; 30th ed; p726)","Adrenalex  Cortisate  Cortistal  Cortivite  Andreson  Cortisal  Cortogen  Cortone  Adreson Cortisone","360.44","C21H28O5","(8S;9S;10R;13S;14S;17R)-17-hydroxy-17-(2-hydroxyacetyl)-10;13-dimethyl-1;2;6;7;8;9;12;14;15;16-decahydrocyclopenta[a]phenanthrene-3;11-dione","CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C","3EB3","C00762; D07749","HMDB0002802","222","280mg/ml at 25C","NA","P79686; Q6XLJ0; P49115; P04150; P06537; P49843; O73673; Q9N1U3; Q5R9P5; P59667; P06536; P79269; O13186; O46567; P35547; Q95267; P49844; Q3MSN1; Q3MSN4","Pubchem; HMDB"
"20034","5281707","Coumestrol","A daidzein derivative occurring naturally in forage crops which has  some estrogenic activity.","Cumoestrol  Cumostrol  Chrysanthin  7;12-Dihydroxycoumestan","268.22","C15H8O5","3;9-dihydroxy-[1]benzoxolo[3;2-c]chromen-6-one","C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O","NA","C10205","HMDB0002326","385","NA","NA","P03372; Q92731; Q16095; Q16405; Q9H1Z6; Q9H2M1; Q9H2M2; Q9UBT1; Q9UE35","Pubchem"
"20035","5281708","Daidzein","structure","daidzein  Daidzeol  Diadzein Isoaurostatin  4';7-Dihydroxyisoflavone  7;4'-Dihydroxyisoflavone","254.24","C15H10O4","7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one","C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O","NA","C10208","NA","323","NA","NA","Q9W669; Q9IAL9; O13012; Q9XSB5; Q95171; Q9PTU5; O93511; Q92731; Q9IAK1; Q9TTE5; P57781; O08537; P57782; Q9YH32; Q9XSW2; Q62986; Q9TU15; Q9W6M2; Q9PVE2","Pubchem"
"20036","5881","Dehydroepiandrosterone","A major C19 steroid produced by the ADRENAL CORTEX. It is also  produced in small quantities in the TESTIS and the OVARY.  Dehydroepiandrosterone (DHEA) can be converted to TESTOSTERONE;  ANDROSTENEDIONE; ESTRADIOL; and ESTRONE. Most of DHEA is sulfated  (DEHYDROEPIANDROSTERONE SULFATE) before secre","Dehydroepiandrosterone Androstenolone Psicosterone  Diandrone  Diandron  DHEA Prestara  PRASTERONE Andrestenol","288.42","C19H28O2","(3S;8R;9S;10R;13S;14S)-3-hydroxy-10;13-dimethyl-1;2;3;4;7;8;9;11;12;14;15;16-dodecahydrocyclopenta[a]phenanthren-17-one","CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C","1E3R;1COY","C01227","HMDB0000077","95","63.5mg/ml at 25C","NA","Q95N78; O35507; Q07869; P23204; Q8HYL6; P37230; P37232; O75469; Q8SQ01; O54915; Q9R1A7; Q9YHT3; P49884; P06212; Q91424; P57717; Q53AD2; Q9TV98; P03372","Pubchem"
"20037","13308","Dehydrotestosterone","RN given refers to (17beta)-isomer","Boldenone Dehydrotestosterone 1-Dehydrotestosterone  17beta-Boldenone dehydrotestosterone  delta1-Testosterone  1;2-Dehydrotestosterone  1;2-Didehydrotestosterone  Boldenone (INN)  Boldenonum  Boldeno","286.41","C19H26O2","(8R;9S;10R;13S;14S;17S)-17-hydroxy-10;13-dimethyl-6;7;8;9;11;12;14;15;16;17-decahydrocyclopenta[a]phenanthren-3-one","CC12CCC3C(C1CCC2O)CCC4=CC(=O)C=CC34C","NA","C14502; D07536","NA","165","NA","DB01541","P10275","Pubchem"
